[[195, 457],[242, 430],[291, 409],[354, 383],[426, 359],[517, 342],[596, 323],[680, 308],[764, 287],[848, 265],[948, 233],[1021, 210],[1065, 201],[1066, 201],[1105, 220],[1123, 262],[1106, 312],[1096, 349],[1075, 382],[1043, 410],[1042, 411],[1012, 439],[958, 464],[888, 481],[832, 492],[831, 492],[761, 515],[734, 521],[733, 521],[711, 541],[705, 570],[706, 592],[720, 608],[743, 631],[779, 653],[829, 691],[873, 715],[906, 722],[926, 720],[944, 696],[959, 659],[976, 616],[1001, 575],[1043, 540],[1085, 519],[1188, 478],[1567, 321],[1614, 316],[1648, 328],[1674, 340],[1735, 386],[1772, 426],[1805, 466],[1814, 492],[1812, 521],[1796, 542],[1776, 573],[1746, 606],[1691, 651],[1627, 695],[1576, 734],[1509, 785],[1508, 785],[1419, 847],[1140, 1044],[1116, 1060],[1068, 1053],[1045, 1030],[984, 999],[983, 999],[895, 954],[895, 955],[820, 906],[730, 852],[659, 790],[599, 742],[544, 695],[544, 694],[489, 659],[410, 615],[322, 589],[234, 552],[171, 524],[152, 506],[152, 479],[152, 478],[190, 457]]
[[495, 396],[613, 375],[701, 357],[789, 341],[870, 317],[956, 286],[1016, 265],[1037, 260],[1052, 266],[1051, 284],[1043, 318],[1031, 347],[997, 369],[957, 399],[956, 399],[906, 413],[863, 428],[862, 428],[771, 453],[719, 466],[718, 466],[665, 489],[648, 519],[635, 551],[633, 587],[651, 629],[651, 630],[678, 661],[744, 705],[840, 769],[841, 770],[907, 776],[956, 761],[981, 748],[999, 722],[1014, 693],[1031, 640],[1070, 593],[1100, 578],[1166, 553],[1244, 516],[1349, 474],[1424, 440],[1539, 394],[1562, 383],[1588, 377],[1609, 379],[1628, 388],[1645, 401],[1667, 422],[1730, 492],[1727, 509],[1719, 534],[1700, 557],[1673, 581],[1561, 662],[1360, 802],[1232, 899],[1135, 967],[1134, 967],[1100, 976],[1072, 972],[1050, 958],[973, 918],[896, 873],[793, 815],[703, 747],[644, 698],[602, 655],[555, 616],[494, 584],[403, 550],[357, 530],[356, 530],[290, 504],[266, 493],[268, 480],[284, 469],[285, 469],[341, 449],[419, 420],[494, 400]]
[[1122, 958],[1177, 1029]]
[[963, 895],[904, 971]]
[[325, 509],[266, 580]]
[[392, 449],[376, 361]]
[[999, 287],[981, 206]]
[[1031, 317],[1110, 335]]
[[745, 448],[760, 523]]
[[691, 684],[690, 684],[750, 624]]
[[837, 785],[875, 705]]
[[967, 619],[1029, 656]]
[[1182, 568],[1146, 488]]
[[1579, 397],[1554, 310]]
[[1621, 403],[1686, 341]]
[[1697, 535],[1768, 620]]
[[1375, 773],[1441, 854]]
