[[40, 128],[101, 86],[179, 62],[254, 39],[385, 26],[488, 22],[616, 15],[717, 14],[833, 29],[950, 26],[1054, 60],[1112, 92],[1129, 112],[1142, 130],[1176, 206],[1168, 312],[1176, 472],[1154, 525],[1110, 535],[1046, 568],[1028, 619],[1040, 658],[1049, 714],[1008, 756],[915, 769],[816, 756],[748, 762],[686, 756],[628, 719],[622, 645],[596, 579],[531, 546],[444, 572],[413, 605],[410, 662],[368, 733],[250, 765],[121, 761],[35, 726],[22, 621],[27, 497],[13, 412],[64, 342],[123, 304],[145, 248],[110, 185],[71, 139],[49, 122]]
[[207, 555],[202, 461],[213, 411],[265, 388],[312, 349],[340, 310],[340, 266],[328, 222],[300, 181],[279, 148],[324, 122],[388, 125],[502, 118],[559, 121],[630, 114],[670, 119],[701, 128],[739, 136],[786, 150],[853, 167],[899, 170],[944, 213],[972, 254],[980, 304],[976, 362],[943, 389],[910, 421],[897, 474],[883, 506],[874, 535],[853, 553],[816, 553],[779, 534],[737, 494],[708, 472],[663, 438],[594, 422],[545, 417],[472, 422],[428, 443],[411, 465],[348, 492],[311, 525],[273, 545],[219, 548],[212, 548]]
[[329, 367],[116, 274]]
[[335, 178],[217, 36]]
[[513, 141],[504, 14]]
[[710, 150],[779, 16]]
[[889, 208],[1067, 41]]
[[971, 301],[1180, 301]]
[[903, 421],[1095, 559]]
[[833, 519],[837, 776]]
[[734, 469],[586, 629]]
[[369, 468],[431, 612]]
[[253, 528],[219, 779]]
[[228, 475],[16, 483]]
